Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,,Rate,Size,regime,,Monodispersity,,,,,
171,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.066,,9.46,80.97,1.00,,2.04,,,,,
172,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.132,,49.40,58.80,1.00,,2.74,,,,,
173,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.264,,62.08,68.65,2.00,,2.35,,,,,
174,100.00,1.50,4.00,2.50,4.00,2.00,22.00,0.529,,89.50,76.56,2.00,,1.22,,,,,
175,100.00,1.50,4.00,2.50,4.00,2.00,22.00,1.058,,147.89,81.60,2.00,,1.37,,,,,
176,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.066,,86.81,73.54,1.00,,1.31,,,,,
177,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.132,,193.55,70.92,1.00,,1.54,,,,,
178,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.264,,73.94,123.15,2.00,,2.35,,,,,
179,100.00,2.00,5.00,3.00,2.00,2.50,10.00,0.529,,121.79,131.38,2.00,,1.12,,,,,
180,100.00,2.00,5.00,3.00,2.00,2.50,10.00,1.058,,209.70,138.10,2.00,,1.21,,,,,
181,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.066,,72.53,71.54,1.00,,1.48,,,,,
182,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.132,,260.40,58.86,1.00,,2.98,,,,,
183,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.264,,64.60,118.03,2.00,,5.51,,,,,
184,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.529,,122.81,120.04,2.00,,6.01,,,,,
185,100.00,2.00,5.00,3.00,2.00,2.50,13.00,1.058,,210.12,126.45,2.00,,1.20,,,,,
186,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.066,,78.38,65.05,1.00,,1.79,,,,,
187,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.132,,208.33,59.17,1.00,,1.55,,,,,
188,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.264,,64.86,109.99,2.00,,2.48,,,,,
189,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.529,,138.91,107.51,2.00,,1.17,,,,,
