Experiment,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,,,
201,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.529,122.81,120.04,2.00,,,,,,,,,,
202,175.00,1.50,2.00,3.00,3.50,3.00,16.00,1.058,303.63,119.79,2.00,,,,,,,,,,
203,175.00,1.50,2.00,3.00,3.50,3.00,16.00,0.529,154.72,119.04,2.00,,,,,,,,,,
204,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.264,72.39,118.81,2.00,,,,,,,,,,
205,175.00,1.50,2.00,3.00,3.50,3.00,13.00,1.058,383.40,118.77,2.00,,,,,,,,,,
206,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.529,67.03,118.61,2.00,,,,,,,,,,
207,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.529,146.70,118.28,2.00,,,,,,,,,,
208,175.00,1.49,2.02,2.99,3.49,2.98,13.00,0.260,95.46,118.04,2.00,,,,,,,,,,
209,100.00,2.00,5.00,3.00,2.00,2.50,13.00,0.264,64.60,118.03,2.00,,,,,,,,,,
210,125.00,3.00,3.00,2.50,2.00,3.00,22.00,1.058,417.21,117.56,2.00,,,,,,,,,,
211,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.529,128.86,117.20,2.00,,,,,,,,,,
212,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.264,83.95,117.11,2.00,,,,,,,,,,
213,75.00,3.00,6.00,3.00,4.00,4.00,13.00,1.058,164.55,116.80,2.00,,,,,,,,,,
214,100.00,2.00,5.00,3.00,2.00,2.50,16.00,1.058,219.93,116.22,2.00,,,,,,,,,,
215,150.00,2.00,2.00,2.50,2.50,4.00,13.00,0.529,359.49,115.88,2.00,,,,,,,,,,
216,100.00,2.50,6.00,1.00,2.50,3.00,22.00,1.058,188.51,115.34,2.00,,,,,,,,,,
217,150.00,2.00,2.00,2.50,2.50,4.00,13.00,0.132,91.64,115.13,2.00,,,,,,,,,,
218,150.00,2.00,2.00,2.50,2.50,4.00,13.00,0.264,185.91,114.58,2.00,,,,,,,,,,
219,125.00,1.50,5.00,1.00,3.00,4.00,19.00,1.058,221.25,114.51,2.00,,,,,,,,,,
220,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.132,79.14,113.76,2.00,,,,,,,,,,
221,125.00,2.00,6.00,1.50,3.50,2.00,22.00,1.058,130.78,113.51,2.00,,,,,,,,,,
222,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.264,38.31,113.44,2.00,,,,,,,,,,
223,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.264,57.54,113.02,2.00,,,,,,,,,,
224,100.00,1.50,4.00,2.50,4.00,2.00,10.00,1.058,122.74,112.93,2.00,,,,,,,,,,
225,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.264,117.69,112.92,2.00,,,,,,,,,,
226,125.00,1.50,5.00,1.00,3.00,4.00,22.00,1.058,204.36,111.98,2.00,,,,,,,,,,
