Experiment number,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,
211,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.066096,18.77,109.81,1,,,,,,,,
212,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.132192,79.16,85.63,1,,,,,,,,
213,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.264384,31.76,146.28,2,,,,,,,,
214,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.528768,65.73,144.63,2,,,,,,,,
215,100.00,2.50,6.00,1.00,2.50,3.00,16.00,1.057536,147.55,139.17,2,,,,,,,,
216,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.066096,24.07,95.45,1,,,,,,,,
217,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.132192,100.00,74.81,1,,,,,,,,
218,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.264384,30.93,139.36,2,,,,,,,,
219,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.528768,93.12,121.60,2,,,,,,,,
220,100.00,2.50,6.00,1.00,2.50,3.00,19.00,1.057536,161.94,127.40,2,,,,,,,,
221,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.066096,13.50,110.21,1,,,,,,,,
222,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.132192,44.45,93.34,2,,,,,,,,
223,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.264384,68.18,101.98,2,,,,,,,,
224,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.528768,129.36,103.79,2,,,,,,,,
225,100.00,2.50,6.00,1.00,2.50,3.00,22.00,1.057536,188.51,115.34,2,,,,,,,,
226,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.066096,49.33,97.06,1,,,,,,,,
227,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.132192,70.32,108.66,2,,,,,,,,
228,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.264384,151.81,105.93,2,,,,,,,,
229,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.528768,261.39,111.35,2,,,,,,,,
230,100.00,3.00,2.00,1.50,3.00,3.50,10.00,1.057536,651.41,103.48,2,,,,,,,,
231,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.066096,67.07,80.28,1,,,,,,,,
232,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.132192,77.49,96.39,2,,,,,,,,
233,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.264384,140.75,99.53,2,,,,,,,,
234,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.528768,340.03,93.46,2,,,,,,,,
235,100.00,3.00,2.00,1.50,3.00,3.50,13.00,1.057536,629.46,95.90,2,,,,,,,,
236,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.066096,55.85,79.62,1,,,,,,,,
237,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.132192,95.84,83.79,2,,,,,,,,
238,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.264384,152.22,90.48,2,,,,,,,,
239,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.528768,320.47,88.95,2,,,,,,,,
240,100.00,3.00,2.00,1.50,3.00,3.50,16.00,1.057536,680.51,87.19,2,,,,,,,,
241,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.066096,56.41,74.94,1,,,,,,,,
242,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.132192,100.00,78.01,2,,,,,,,,
243,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.264384,163.64,83.41,2,,,,,,,,
244,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.528768,392.62,78.50,2,,,,,,,,
245,100.00,3.00,2.00,1.50,3.00,3.50,19.00,1.057536,609.58,85.41,2,,,,,,,,
246,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.066096,58.16,70.64,2,,,,,,,,
247,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.132192,106.25,72.81,2,,,,,,,,
248,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.264384,196.79,74.70,2,,,,,,,,
249,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.528768,307.07,81.14,2,,,,,,,,
250,100.00,3.00,2.00,1.50,3.00,3.50,22.00,1.057536,637.65,80.13,2,,,,,,,,
251,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.066096,46.74,84.49,1,,,,,,,,
252,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.132192,147.08,72.64,1,,,,,,,,
