Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,Rate,Size,regime,Monodispersity
518,175,1.5,2.0,3.0,3.5,3.0,22.0,0.132,58.94,93.03,1,2.02
524,125,2.0,6.0,1.5,3.5,2.0,13.0,0.066,25.71,92.33,1,7.6
526,100,1.5,4.0,2.5,4.0,2.0,16.0,0.066,8.78,92.31,1,4.12
527,100,2.5,6.0,1.0,2.5,3.0,13.0,0.066,38.9,92.3,1,2.08
530,175,1.0,6.0,2.5,3.0,2.5,10.0,0.132,90.54,91.99,1,6.2
532,100,3.0,2.0,1.5,3.0,3.5,22.0,0.033,13.38,91.51,1,2.79
533,125,3.0,3.0,2.5,2.0,3.0,16.0,0.066,76.2,91.44,1,4.83
534,175,1.5,2.0,3.0,3.5,3.0,19.0,0.132,72.35,91.24,1,3.62
536,175,1.0,5.96,2.5,3.02,2.49,8.0,0.2,175.12,90.96,1,1.43
540,100,2.0,5.0,3.0,2.0,2.5,6.0,0.066,77.23,90.65,1,3.04
543,175,1.0,6.0,2.5,3.0,2.5,16.0,0.066,30.1,90.11,1,6.37
544,100,2.5,6.0,1.0,2.5,3.0,13.0,0.132,83.89,90.01,1,1.44
546,125,1.5,5.0,1.0,3.0,4.0,22.0,0.033,12.37,89.84,1,5.71
547,175,1.49,2.02,2.99,3.49,2.98,14.0,0.2,155.82,89.62,1,1.54
549,175,1.49,2.02,2.99,3.49,2.98,14.0,0.1,78.49,89.4,1,1.85
550,125,1.5,5.0,1.0,3.0,4.0,13.0,0.033,21.36,89.23,1,4.79
552,100,1.5,4.0,2.5,4.0,2.0,19.0,0.066,8.23,89.05,1,2.57
553,75,2.0,4.0,2.0,3.0,3.0,16.0,0.033,6.6,89.04,1,1.02
556,100,1.96,4.87,2.97,2.0,2.44,8.0,0.05,44.8,88.74,1,1.87
557,125,2.0,6.0,1.5,3.5,2.0,10.0,0.132,75.47,88.66,1,2.32
559,175,1.49,2.02,2.99,3.49,2.98,14.0,0.15,121.48,88.47,1,1.58
561,150,1.0,5.0,1.5,4.0,3.0,10.0,0.132,65.08,88.25,1,3.43
563,100,1.0,3.0,2.0,3.5,4.0,10.0,0.033,10.54,88.13,1,1.27
564,150,1.5,6.0,2.0,2.0,3.5,10.0,0.066,114.11,87.38,1,5.26
565,175,1.0,6.0,2.5,3.0,2.5,13.0,0.264,165.1,86.92,1,4.89
566,75,3.0,6.0,3.0,4.0,4.0,8.0,0.05,30.75,86.83,1,1.77
567,125,1.5,5.0,1.0,3.0,4.0,13.0,0.066,46.58,86.69,1,1.94
569,150,1.5,6.0,2.0,2.0,3.5,19.0,0.033,30.81,86.63,1,1.74
571,175,1.0,5.96,2.5,3.02,2.49,14.0,0.05,29.03,86.56,1,1.7
572,175,1.5,2.0,3.0,3.5,3.0,22.0,0.066,36.64,86.52,1,6.62
573,125,1.5,5.0,1.0,3.0,4.0,16.0,0.033,19.06,86.48,1,6.3
574,175,1.0,6.0,2.5,3.0,2.5,10.0,0.264,219.73,86.25,1,4.52
576,100,2.0,5.0,3.0,2.0,2.5,13.0,0.033,20.88,86.0,1,1.34
577,75,3.0,6.0,3.0,4.0,4.0,10.0,0.066,33.74,85.79,1,1.58
578,100,2.5,6.0,1.0,2.5,3.0,16.0,0.132,79.16,85.63,1,4.16
582,75,2.5,5.0,2.5,3.5,3.5,10.0,0.066,29.61,84.9,1,1.32
585,100,1.0,3.0,2.0,3.5,4.0,13.0,0.033,9.14,84.67,1,0.97
587,100,2.0,5.0,3.0,2.0,2.5,10.0,0.033,28.55,84.56,1,1.67
588,150,1.0,5.0,1.5,4.0,3.0,16.0,0.132,46.27,84.54,1,1.48
589,125,1.0,4.0,3.0,2.5,3.5,10.0,0.066,46.74,84.49,1,1.53
591,125,1.5,5.0,1.0,3.0,4.0,19.0,0.033,17.36,84.25,1,12.89
593,125,1.0,4.0,3.0,2.5,3.5,19.0,0.033,12.56,83.91,1,1.61
595,75,1.0,2.0,1.0,2.0,2.0,6.0,0.033,11.78,83.68,1,1.01
597,75,1.5,3.0,1.5,2.5,2.5,6.0,0.066,33.27,83.57,1,1.32
598,75,1.5,3.0,1.5,2.5,2.5,13.0,0.033,7.69,83.54,1,1.48
599,125,3.0,3.0,2.5,2.0,3.0,22.0,0.066,72.86,83.47,1,10.7
603,175,1.49,2.02,2.99,3.49,2.98,20.0,0.05,35.02,82.45,1,2.29
605,75,3.0,6.0,3.0,4.0,4.0,16.0,0.066,24.5,81.61,1,1.65
608,100,1.5,4.0,2.5,4.0,2.0,22.0,0.066,9.46,80.97,1,2.04
611,150,1.5,6.0,2.0,2.0,3.5,13.0,0.033,55.97,80.58,1,4.31
612,125,2.5,2.0,2.0,4.0,2.5,19.0,0.132,67.97,80.52,1,7.79
613,100,1.5,4.0,2.5,4.0,2.0,10.0,0.132,42.37,80.49,1,1.84
614,100,3.0,2.0,1.5,3.0,3.5,13.0,0.066,67.07,80.28,1,1.58
615,125,2.5,2.0,2.0,4.0,2.5,22.0,0.132,59.66,80.09,1,3.92
616,150,1.5,6.0,2.0,2.0,3.5,16.0,0.033,46.46,80.0,1,3.49
618,150,1.0,5.0,1.5,4.0,3.0,13.0,0.066,33.88,79.78,1,5.92
619,100,3.0,2.0,1.5,3.0,3.5,16.0,0.066,55.85,79.62,1,6.22
621,75,3.0,6.0,3.0,4.0,4.0,22.0,0.033,9.8,79.05,1,4.86
622,125,1.0,4.0,3.0,2.5,3.5,16.0,0.033,17.87,78.99,1,4.04
623,150,1.5,6.0,2.0,2.0,3.5,16.0,0.066,97.08,78.84,1,4.72
625,175,1.0,6.0,2.5,3.0,2.5,19.0,0.264,152.12,78.71,1,2.03
628,75,2.0,4.0,2.0,3.0,3.0,10.0,0.066,30.87,78.46,1,1.27
629,100,2.81,2.0,1.5,2.99,3.58,14.0,0.05,48.31,78.43,1,2.17
630,125,2.0,6.0,1.5,3.5,2.0,13.0,0.132,85.14,78.04,1,2.54
632,150,1.0,5.0,1.5,4.0,3.0,13.0,0.132,72.48,78.01,1,4.98
635,175,1.0,5.96,2.5,3.02,2.49,14.0,0.1,81.49,77.31,1,1.54
636,150,1.5,6.0,2.0,2.0,3.5,13.0,0.066,127.18,77.22,1,5.8
637,100,1.96,4.87,2.97,2.0,2.44,8.0,0.1,136.58,77.11,1,0.75
639,150,1.0,5.0,1.5,4.0,3.0,10.0,0.264,198.39,76.69,1,8.25
640,150,1.5,6.0,2.0,2.0,3.5,22.0,0.033,38.36,76.69,1,6.8
641,175,1.0,6.0,2.5,3.0,2.5,13.0,0.132,120.56,76.61,1,2.13
643,175,1.49,2.02,2.99,3.49,2.98,20.0,0.15,131.28,76.55,1,2.23
644,125,1.0,4.0,3.0,2.5,3.5,6.04,0.07,116.25,76.35,1,1.01
645,150,1.5,6.0,2.0,2.0,3.5,19.0,0.066,90.1,76.33,1,3.09
646,125,1.5,5.0,1.0,3.0,4.0,16.0,0.066,55.52,76.3,1,2.14
647,175,1.0,6.0,2.5,3.0,2.5,19.0,0.132,83.61,76.27,1,3.93
648,175,1.49,2.02,2.99,3.49,2.98,20.0,0.1,89.37,76.02,1,1.95
649,125,2.0,6.0,1.5,3.5,2.0,16.0,0.132,75.02,75.96,1,4.39
650,75,2.02,4.02,2.06,3.04,2.94,8.0,0.05,31.55,75.91,1,1.43
651,75,1.0,2.0,1.0,2.0,2.0,6.0,0.066,31.76,75.76,1,1.25
652,175,1.0,6.0,2.5,3.0,2.5,16.0,0.264,205.15,75.45,1,6.32
656,75,3.0,6.0,3.0,4.0,4.0,8.0,0.1,95.51,74.98,1,2.21
657,75,2.0,4.0,2.0,3.0,3.0,19.0,0.033,9.32,74.97,1,1.14
658,100,3.0,2.0,1.5,3.0,3.5,19.0,0.066,56.41,74.94,1,8.19
660,100,2.5,6.0,1.0,2.5,3.0,19.0,0.132,100.0,74.81,1,2.04
663,100,1.96,4.87,2.97,2.0,2.44,8.0,0.15,230.51,74.14,1,5.07
664,175,1.0,5.96,2.5,3.02,2.49,14.0,0.15,140.85,73.75,1,1.26
665,100,2.0,5.0,3.0,2.0,2.5,10.0,0.066,86.81,73.54,1,1.31
666,175,1.0,5.96,2.5,3.02,2.49,13.0,0.26,269.63,73.13,1,2.1
667,75,3.0,6.0,3.0,4.0,4.0,13.0,0.066,41.95,73.1,1,2.05
668,75,2.0,4.0,2.0,3.0,3.0,13.0,0.066,29.47,73.01,1,1.04
